Pais de Proveniencia,Aduana de Ingreso, Fecha de la Poliza,Partida Arancelaria,Modelo del Vehiculo,Marca,Linea,Centimetros Cubicos,Distintivo,Tipo de Vehiculo,Tipo de Importador,Tipo Combustible,Asientos,Puertas,Tonelaje,Valor CIF,Impuesto
SANTO TOMAS DE CASTILLA,27/04/2024,8703236991,2012,HYUNDAI,ELANTRA GLS,1800.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,11522.37,1382.68,
SANTO TOMAS DE CASTILLA,27/04/2024,8703236991,2018,MAZDA,MAZDA3 SPORT,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,17200.15,2064.02,
SANTO TOMAS DE CASTILLA,27/04/2024,8703236991,2014,MAZDA,MAZDA3,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,15585.46,1870.26,
SANTO TOMAS DE CASTILLA,27/04/2024,8703237911,2022,MAZDA,CX-5 PREFERRED AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,34358.93,4123.07,
EL CARMEN,28/04/2024,8703247000,2012,TOYOTA,4RUNNER SR5 4WD,4000.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,55010.25,6601.23,
EL CARMEN,27/04/2024,8703236991,2015,NISSAN,VERSA NOTE SV,1600.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,16548.18,1985.78,
SANTO TOMAS DE CASTILLA,27/04/2024,8703237911,2009,TOYOTA,RAV4 4WD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,5,0.0,22667.82,2720.14,
TECUN UMAN,27/04/2024,8703237911,2010,HONDA,CR-V EX 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,27085.67,3250.28,
TECUN UMAN,29/04/2024,8701210000,2006,FREIGHTLINER,COLUMBIA CL120064ST,14000.0,PESADO,CABEZAL,OCASIONAL,DIESEL,2,2,15.0,41370.45,4964.45,
EL CARMEN,27/04/2024,8703236991,2013,MAZDA,MAZDA3 i SPORT,2000.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,11260.23,1351.23,
EL CARMEN,27/04/2024,8704315100,1993,TOYOTA,XTRA CAB SR5 4X4,3000.0,LIVIANO,PICK UP,OCASIONAL,GASOLINA,4,2,1.0,38117.35,4574.08,
TECUN UMAN,27/04/2024,8703237911,2006,HONDA,CR-V SE 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,20840.75,2500.89,
TECUN UMAN,27/04/2024,8703237911,2015,TOYOTA,RAV4 XLE AWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,56518.88,6782.27,
TECUN UMAN,27/04/2024,8703226991,2008,TOYOTA,YARIS,1500.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,20980.73,2517.69,
EL CARMEN,27/04/2024,8703236991,2015,TOYOTA,YARIS,1500.0,LIVIANO,AUTOMOVIL,OCASIONAL,GASOLINA,5,4,0.0,33384.09,4006.09,
TECUN UMAN,27/04/2024,8703237911,2006,TOYOTA,RAV4 LIMITED 4WD,2400.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,20840.75,2500.89,
EL CARMEN,27/04/2024,8703237991,2015,TOYOTA,RAV4 XLE FWD,2500.0,LIVIANO,CAMIONETA,OCASIONAL,GASOLINA,5,4,0.0,51114.28,6133.71,
PUERTO QUETZAL,29/04/2024,8703600000,2024,BMW,330e,1998.0,LIVIANO,AUTOMOVIL,OCASIONAL,OTROS,5,4,0.0,351525.63,42183.08,
PUERTO QUETZAL,29/04/2024,8703600000,2024,BMW,330e,1998.0,LIVIANO,AUTOMOVIL,OCASIONAL,OTROS,5,4,0.0,354476.7,42537.2,
PUERTO QUETZAL,29/04/2024,8703600000,2024,BMW,330e,1998.0,LIVIANO,AUTOMOVIL,OCASIONAL,OTROS,5,4,0.0,348303.63,41796.44,
PUERTO QUETZAL,29/04/2024,8703600000,2024,BMW,330e,1998.0,LIVIANO,AUTOMOVIL,OCASIONAL,OTROS,5,4,0.0,351525.63,42183.08,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
PUERTO QUETZAL,24/04/2024,8711209000,2025,SUZUKI,UB125EE,125.0,LIVIANO,MOTO,OCASIONAL,GASOLINA,2,0,0.0,1320201.64,158424.2,
